condition,source_instance,family,dimensions,component,off_mask,on_mask,utility_off,utility_on,utility_effect
airfoil,airfoil,regression,4,A,0000,1000,0.72146155925935,0.7213106361536334,-0.00015092310571651613
airfoil,airfoil,regression,4,A,0001,1001,0.6989168763043279,0.6990204959033715,0.00010361959904359175
airfoil,airfoil,regression,4,A,0010,1010,0.7545825353059711,0.7557384269946765,0.001155891688705446
airfoil,airfoil,regression,4,A,0011,1011,0.7519679765622033,0.75309297084022,0.001124994278016711
airfoil,airfoil,regression,4,A,0100,1100,0.7314187478222108,0.7303486728501655,-0.001070074972045365
airfoil,airfoil,regression,4,A,0101,1101,0.7309954814958676,0.7299227311700477,-0.0010727503258198823
airfoil,airfoil,regression,4,A,0110,1110,0.7579351964879469,0.7590076569789411,0.001072460490994187
airfoil,airfoil,regression,4,A,0111,1111,0.7571327373868312,0.7581644834670807,0.0010317460802494738
airfoil,airfoil,regression,4,B,0000,0100,0.72146155925935,0.7314187478222108,0.009957188562860875
airfoil,airfoil,regression,4,B,0001,0101,0.6989168763043279,0.7309954814958676,0.03207860519153971
airfoil,airfoil,regression,4,B,0010,0110,0.7545825353059711,0.7579351964879469,0.003352661181975858
airfoil,airfoil,regression,4,B,0011,0111,0.7519679765622033,0.7571327373868312,0.005164760824627912
airfoil,airfoil,regression,4,B,1000,1100,0.7213106361536334,0.7303486728501655,0.009038036696532026
airfoil,airfoil,regression,4,B,1001,1101,0.6990204959033715,0.7299227311700477,0.030902235266676237
airfoil,airfoil,regression,4,B,1010,1110,0.7557384269946765,0.7590076569789411,0.003269229984264599
airfoil,airfoil,regression,4,B,1011,1111,0.75309297084022,0.7581644834670807,0.005071512626860675
airfoil,airfoil,regression,4,C,0000,0010,0.72146155925935,0.7545825353059711,0.03312097604662112
airfoil,airfoil,regression,4,C,0001,0011,0.6989168763043279,0.7519679765622033,0.053051100257875405
airfoil,airfoil,regression,4,C,0100,0110,0.7314187478222108,0.7579351964879469,0.026516448665736103
airfoil,airfoil,regression,4,C,0101,0111,0.7309954814958676,0.7571327373868312,0.026137255890963607
airfoil,airfoil,regression,4,C,1000,1010,0.7213106361536334,0.7557384269946765,0.03442779084104308
airfoil,airfoil,regression,4,C,1001,1011,0.6990204959033715,0.75309297084022,0.054072474936848525
airfoil,airfoil,regression,4,C,1100,1110,0.7303486728501655,0.7590076569789411,0.028658984128775655
airfoil,airfoil,regression,4,C,1101,1111,0.7299227311700477,0.7581644834670807,0.028241752297032963
airfoil,airfoil,regression,4,D,0000,0001,0.72146155925935,0.6989168763043279,-0.0225446829550221
airfoil,airfoil,regression,4,D,0010,0011,0.7545825353059711,0.7519679765622033,-0.002614558743767814
airfoil,airfoil,regression,4,D,0100,0101,0.7314187478222108,0.7309954814958676,-0.00042326632634326344
airfoil,airfoil,regression,4,D,0110,0111,0.7579351964879469,0.7571327373868312,-0.00080245910111576
airfoil,airfoil,regression,4,D,1000,1001,0.7213106361536334,0.6990204959033715,-0.02229014025026199
airfoil,airfoil,regression,4,D,1010,1011,0.7557384269946765,0.75309297084022,-0.002645456154456549
airfoil,airfoil,regression,4,D,1100,1101,0.7303486728501655,0.7299227311700477,-0.00042594168011778066
