condition,source_instance,family,dimensions,first_component,second_component,mean_pair_interaction,background_count
airfoil,airfoil,regression,4,A,B,-0.0005680502966677048,4
airfoil,airfoil,regression,4,A,C,0.0016438053356259974,4
airfoil,airfoil,regression,4,A,D,4.50638823880356e-05,4
airfoil,airfoil,regression,4,B,C,-0.01627947527496995,4
airfoil,airfoil,regression,4,B,D,0.011899999371017794,4
airfoil,airfoil,regression,4,C,D,0.009694595925136135,4
arguana,arguana,retrieval,4,A,B,-0.00963144557182671,4
arguana,arguana,retrieval,4,A,C,0.0032577889836927533,4
arguana,arguana,retrieval,4,A,D,-0.042084844229170276,4
arguana,arguana,retrieval,4,B,C,-0.10292774025759993,4
arguana,arguana,retrieval,4,B,D,-0.1887445561312095,4
arguana,arguana,retrieval,4,C,D,-0.08443555206479367,4
astronaut,astronaut,image_restoration,4,A,B,-0.08921746046794424,4
astronaut,astronaut,image_restoration,4,A,C,-0.08256226077926412,4
astronaut,astronaut,image_restoration,4,A,D,0.02041947600752167,4
astronaut,astronaut,image_restoration,4,B,C,-0.11914625367522988,4
astronaut,astronaut,image_restoration,4,B,D,0.03758539307692568,4
astronaut,astronaut,image_restoration,4,C,D,0.02927290490779902,4
banknote,banknote,classification,4,A,B,0.0004078706679191413,4
banknote,banknote,classification,4,A,C,0.0023854254214663584,4
banknote,banknote,classification,4,A,D,-0.007681564245810124,4
banknote,banknote,classification,4,B,C,0.0020949720670391248,4
banknote,banknote,classification,4,B,D,-0.010184406980768168,4
banknote,banknote,classification,4,C,D,0.0023854254214663584,4
breast_diagnostic,breast_diagnostic,classification,4,A,B,0.025415601023017903,4
breast_diagnostic,breast_diagnostic,classification,4,A,C,-0.003676470588235309,4
breast_diagnostic,breast_diagnostic,classification,4,A,D,-0.019341432225063848,4
breast_diagnostic,breast_diagnostic,classification,4,B,C,0.003676470588235309,4
breast_diagnostic,breast_diagnostic,classification,4,B,D,0.01209505541346964,4
breast_diagnostic,breast_diagnostic,classification,4,C,D,0.016890451832907077,4
co2,co2,forecasting,4,A,B,0.0013432557097262099,4
co2,co2,forecasting,4,A,C,0.0012950099336975773,4
co2,co2,forecasting,4,A,D,-0.003434247851074823,4
co2,co2,forecasting,4,B,C,9.354703666042408e-05,4
co2,co2,forecasting,4,B,D,-0.0016843685874691205,4
co2,co2,forecasting,4,C,D,0.0007147604997513324,4
coffee,coffee,image_restoration,4,A,B,-0.09222955683764515,4
coffee,coffee,image_restoration,4,A,C,-0.09121961800315785,4
coffee,coffee,image_restoration,4,A,D,0.02129816667519223,4
coffee,coffee,image_restoration,4,B,C,-0.12358602618452778,4
coffee,coffee,image_restoration,4,B,D,0.0336085298620321,4
coffee,coffee,image_restoration,4,C,D,0.03023503024491135,4
concrete,concrete,regression,4,A,B,0.0010641840124781254,4
concrete,concrete,regression,4,A,C,-0.011111819949700036,4
concrete,concrete,regression,4,A,D,0.0009836142977161233,4
concrete,concrete,regression,4,B,C,0.003506479270511037,4
concrete,concrete,regression,4,B,D,0.0017961799956916213,4
concrete,concrete,regression,4,C,D,0.0019492525141614203,4
dry_bean,dry_bean,clustering,4,A,B,-0.00231181859486973,4
dry_bean,dry_bean,clustering,4,A,C,-0.011965642248154273,4
